true_values,predicted_values,difference
6.84,7.1432308910125,0.30323089101250034
5.73,5.715451551438009,0.014548448561991556
7.55,6.957315722612193,0.5926842773878072
6.27,6.003911708561666,0.2660882914383338
6.67,5.93267641566493,0.7373235843350701
2.67,4.485192337837177,1.8151923378371775
7.01,7.32343315439673,0.3134331543967299
5.65,5.828852747332823,0.1788527473328223
6.37,6.202864659074057,0.1671353409259435
6.12,6.433310897261247,0.31331089726124706
5.67,5.402606309418145,0.267393690581855
4.94,5.63256072294296,0.69256072294296
5.55,5.547320497958236,0.002679502041764259
7.56,6.933383020236037,0.6266169797639627
6.48,6.639969463471026,0.15996946347102536
6.43,6.74135592480617,0.31135592480617014
3.84,4.407790465339518,0.5677904653395185
6.49,7.143491804605417,0.6534918046054168
6.55,6.869442739894097,0.31944273989409755
8.75,7.950296775020577,0.7997032249794227
5.76,5.747528513530632,0.012471486469367576
6.13,5.480628232421116,0.6493717675788835
5.14,5.668509636643248,0.528509636643248
6.49,6.532467097892745,0.04246709789274483
5.7,4.963630100175099,0.7363698998249015
6.0,5.86875296866718,0.13124703133282
7.48,7.048076287149303,0.43192371285069786
6.87,6.844165307115035,0.025834692884965094
5.86,6.695989505065212,0.8359895050652115
6.55,6.786831114121467,0.2368311141214674
6.91,6.2680494004075396,0.6419505995924606
6.03,6.315489148665769,0.2854891486657687
6.73,6.280660623226595,0.4493393767734055
6.55,6.861854132013577,0.31185413201357726
5.7,5.852295663134235,0.15229566313423515
6.27,6.312335506361227,0.04233550636122718
7.17,7.065056172489412,0.10494382751058762
5.54,6.418812370438108,0.8788123704381077
7.38,7.306983922418684,0.07301607758131556
4.6,6.1307976565086815,1.5307976565086818
5.63,5.602554350271962,0.027445649728037758
6.54,6.800756365121158,0.26075636512115796
7.21,7.2481474992433155,0.03814749924331551
6.67,6.768902244915735,0.09890224491573463
8.39,8.088361393334893,0.301638606665108
7.04,7.027637452693152,0.01236254730684827
4.69,5.457997390383227,0.7679973903832265
7.76,7.275238472395377,0.4847615276046229
7.04,7.347162582037547,0.307162582037547
6.59,6.117782722611319,0.4722172773886806
3.5,4.7607208904687655,1.2607208904687655
6.42,6.317386561512099,0.10261343848790094
6.06,5.640884630227166,0.41911536977283337
7.13,6.205810204627445,0.9241897953725546
5.38,5.444845915271921,0.0648459152719214
7.62,7.498049813623483,0.12195018637651689
7.06,7.109918602449989,0.04991860244998936
6.23,6.366910956333169,0.13691095633316852
6.38,6.532835714797122,0.15283571479712244
7.43,7.112668518218452,0.31733148178154735
6.36,6.991325182729971,0.6313251827299711
4.74,5.849993109622374,1.1099931096223736
7.02,6.978059392521816,0.04194060747818362
6.14,6.076550775042769,0.06344922495723093
6.8,6.558512213113473,0.24148778688652683
5.07,5.597803449678598,0.5278034496785979
5.24,5.242323625994581,0.0023236259945811355
6.49,6.983481089103604,0.49348108910360367
7.59,7.542886615043231,0.04711338495676909
7.05,6.771000249096351,0.27899975090364926
6.78,6.3898499873782155,0.3901500126217847
6.65,6.401563550611805,0.24843644938819498
6.27,6.7798527983523025,0.5098527983523029
7.43,7.035928756593907,0.3940712434060929
5.86,5.903356055392868,0.043356055392867354
8.33,6.797121539118484,1.5328784608815162
6.44,6.4699956803432475,0.029995680343247066
7.0,6.431172518392515,0.5688274816074852
7.56,7.353224172419299,0.20677582758070034
6.21,6.011992773300763,0.19800722669923676
7.39,7.725228775766631,0.33522877576663124
6.56,6.106681274201503,0.4533187257984963
6.82,6.906420736551002,0.08642073655100191
7.6,7.514296384009529,0.08570361599047072
6.88,7.075512425010249,0.19551242501024912
6.35,6.298536744429274,0.05146325557072551
6.04,6.228485404618721,0.18848540461872076
5.61,6.032669902493317,0.4226699024933165
8.16,7.498489891637756,0.6615101083622443
6.89,7.0808937332938955,0.1908937332938958
7.41,6.579697616153241,0.8303023838467594
6.86,6.422098215817368,0.4379017841826327
4.17,5.318087743191251,1.148087743191251
6.67,6.418906490891751,0.2510935091082489
6.28,7.194371321772049,0.914371321772049
6.6,6.46848519883404,0.13151480116595948
5.69,6.335520060607355,0.645520060607355
4.92,5.282071911978757,0.36207191197875677
6.56,6.977499793668459,0.41749979366845924
6.74,6.378680083568206,0.3613199164317944
7.63,7.163836274143148,0.46616372585685184
4.09,4.230488980771405,0.14048898077140493
7.52,7.812856873136315,0.2928568731363157
7.21,7.644993909509819,0.434993909509819
4.35,5.913171264709703,1.5631712647097036
5.49,5.301043053100972,0.18895694689902864
5.99,6.30729421384659,0.31729421384658973
3.7,4.732682544436473,1.0326825444364731
7.4,6.634882064702446,0.7651179352975541
6.58,7.205511782852922,0.6255117828529215
7.22,7.097510964498578,0.1224890355014221
8.15,7.346950378704002,0.8030496212959983
7.52,7.347360787364761,0.17263921263523851
7.16,6.8358008876247585,0.3241991123752417
6.47610799251537,6.538322913108068,0.062214920592698064
6.3,4.881281153046423,1.4187188469535768
6.73,6.535303059286867,0.1946969407131336
6.78,6.255665576746805,0.5243344232531957
6.76,6.9950499801656845,0.23504998016568468
5.75,5.528143611699037,0.22185638830096277
7.33,7.144051340746019,0.18594865925398096
6.12,5.387358049692179,0.732641950307821
7.33,7.030502432207564,0.29949756779243586
6.17,6.258337665487732,0.0883376654877317
6.93,6.633151297230607,0.2968487027693927
6.2,6.56275847355619,0.3627584735561902
5.27,5.817160411487212,0.5471604114872122
7.52,7.465302666041247,0.0546973339587522
6.89,6.934283424103713,0.04428342410371311
5.83,5.074686740712831,0.7553132592871687
7.68,7.547282452822717,0.13271754717728257
6.96,7.043605723942544,0.08360572394254362
7.29,6.9227759810864535,0.3672240189135465
6.84,6.908913015326253,0.06891301532625338
6.2,6.68159676842479,0.48159676842479016
3.59,4.510783189205437,0.9207831892054372
6.69,6.60505809396798,0.08494190603202068
8.27,8.200186977314875,0.06981302268512479
5.79,5.717015965882402,0.07298403411759846
5.9,5.748976455673201,0.1510235443267991
8.68,7.7945182660876755,0.8854817339123242
6.75,6.770778657901796,0.020778657901796116
6.78,6.632833952340671,0.14716604765932928
6.66,6.742984652458871,0.08298465245887066
8.1,7.7427859182427445,0.3572140817572551
8.0,7.496347743378232,0.503652256621768
7.42,7.109590101322796,0.3104098986772037
7.21,6.955645088265555,0.2543549117344446
5.84,5.135147385968751,0.7048526140312488
6.36,6.343174238881641,0.016825761118359317
5.62,6.264895623262128,0.6448956232621281
5.4,6.083789162576835,0.6837891625768346
4.0,5.9963882687286,1.9963882687285999
6.2,6.704982276279508,0.5049822762795078
5.98,6.153881302849993,0.1738813028499928
7.23,6.427280209001916,0.8027197909980845
4.26,4.351552265058626,0.09155226505862579
7.12,7.294675446095158,0.17467544609515784
6.61,6.163670719450362,0.44632928054963816
6.62,6.692086900668678,0.07208690066867796
5.62,5.992184683610265,0.37218468361026513
6.47610799251537,5.895378133551673,0.5807298589636973
6.17,5.8318511034312905,0.3381488965687094
6.88,7.219110828268562,0.339110828268562
7.87,7.714716413379659,0.15528358662034147
7.57,7.57268154223104,0.0026815422310395576
6.51,6.570352389408769,0.06035238940876919
4.8,5.926928188078689,1.126928188078689
7.19,6.951173407230464,0.2388265927695361
7.16,6.440150082433807,0.7198499175661928
6.61,5.657981880682869,0.9520181193171311
8.0,5.971497439939225,2.028502560060775
7.03,7.571836072370619,0.5418360723706188
6.05,6.380418366305268,0.3304183663052678
5.44,5.327381084729828,0.11261891527017198
5.53,5.401776208969448,0.12822379103055237
6.63,6.19111045343473,0.43888954656527
7.74,7.514184109469349,0.22581589053065088
6.35,6.822544780765338,0.4725447807653387
6.73,7.1152394442408085,0.385239444240808
7.43,7.793349760765896,0.363349760765896
6.31,6.540949004228076,0.2309490042280764
6.88,6.935501708002317,0.055501708002316796
7.21,7.182877407040874,0.02712259295912567
8.41,8.22296302372726,0.18703697627273996
5.87,5.975566455034114,0.10556645503411399
6.91,6.495922752089216,0.41407724791078415
8.16,8.147501106876073,0.012498893123927601
7.96,7.328358242717684,0.6316417572823161
6.91,6.871796430285121,0.03820356971487904
